STATION,NAME,location,date,TAVG,TMAX,TMIN,average_c,max_c,min_c
UKM00003772,"HEATHROW, UK",London,22/10/2021,49,58,41,9.4,14.4,5
UKM00003772,"HEATHROW, UK",London,23/10/2021,52,57,N/A,11.1,13.9,#VALUE!
UKM00003772,"HEATHROW, UK",London,24/10/2021,55,60,N/A,12.8,15.6,#VALUE!
UKM00003772,"HEATHROW, UK",London,25/10/2021,54,64,N/A,12.2,17.8,#VALUE!
UKM00003772,"HEATHROW, UK",London,26/10/2021,56,63,47,13.3,17.2,8.3
UKM00003772,"HEATHROW, UK",London,27/10/2021,60,64,57,15.6,17.8,13.9
UKM00003772,"HEATHROW, UK",London,28/10/2021,57,60,N/A,13.9,15.6,#VALUE!
UKM00003772,"HEATHROW, UK",London,29/10/2021,55,60,N/A,12.8,15.6,#VALUE!
UKM00003772,"HEATHROW, UK",London,30/10/2021,52,60,N/A,11.1,15.6,#VALUE!
UKM00003772,"HEATHROW, UK",London,31/10/2021,53,60,N/A,11.7,15.6,#VALUE!
UKM00003772,"HEATHROW, UK",London,01/11/2021,50,59,N/A,10,15,#VALUE!
UKM00003772,"HEATHROW, UK",London,02/11/2021,44,56,35,6.7,13.3,1.7
UKM00003772,"HEATHROW, UK",London,03/11/2021,43,51,33,6.1,10.6,0.6
UKM00003772,"HEATHROW, UK",London,04/11/2021,45,50,N/A,7.2,10,#VALUE!
UKM00003772,"HEATHROW, UK",London,05/11/2021,42,52,N/A,5.6,11.1,#VALUE!
UKM00003772,"HEATHROW, UK",London,06/11/2021,52,56,47,11.1,13.3,8.3
UKM00003772,"HEATHROW, UK",London,07/11/2021,50,55,N/A,10,12.8,#VALUE!
UKM00003772,"HEATHROW, UK",London,08/11/2021,47,54,38,8.3,12.2,3.3
UKM00003772,"HEATHROW, UK",London,09/11/2021,55,62,N/A,12.8,16.7,#VALUE!
UKM00003772,"HEATHROW, UK",London,10/11/2021,53,56,47,11.7,13.3,8.3
UKM00003772,"HEATHROW, UK",London,11/11/2021,52,60,N/A,11.1,15.6,#VALUE!
UKM00003772,"HEATHROW, UK",London,12/11/2021,53,59,43,11.7,15,6.1
UKM00003772,"HEATHROW, UK",London,13/11/2021,53,N/A,49,11.7,#VALUE!,9.4
UKM00003772,"HEATHROW, UK",London,14/11/2021,53,56,50,11.7,13.3,10
UKM00003772,"HEATHROW, UK",London,15/11/2021,50,54,N/A,10,12.2,#VALUE!
UKM00003772,"HEATHROW, UK",London,16/11/2021,46,53,N/A,7.8,11.7,#VALUE!
UKM00003772,"HEATHROW, UK",London,17/11/2021,47,55,N/A,8.3,12.8,#VALUE!
UKM00003772,"HEATHROW, UK",London,18/11/2021,49,N/A,39,9.4,#VALUE!,3.9
UKM00003772,"HEATHROW, UK",London,19/11/2021,52,54,50,11.1,12.2,10
UKM00003772,"HEATHROW, UK",London,20/11/2021,50,N/A,N/A,10,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,21/11/2021,44,N/A,N/A,6.7,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,22/11/2021,42,50,N/A,5.6,10,#VALUE!
UKM00003772,"HEATHROW, UK",London,23/11/2021,40,50,33,4.4,10,0.6
UKM00003772,"HEATHROW, UK",London,24/11/2021,41,45,36,5,7.2,2.2
UKM00003772,"HEATHROW, UK",London,25/11/2021,41,45,N/A,5,7.2,#VALUE!
UKM00003772,"HEATHROW, UK",London,26/11/2021,42,49,35,5.6,9.4,1.7
UKM00003772,"HEATHROW, UK",London,27/11/2021,39,41,N/A,3.9,5,#VALUE!
UKM00003772,"HEATHROW, UK",London,28/11/2021,35,40,N/A,1.7,4.4,#VALUE!
UKM00003772,"HEATHROW, UK",London,29/11/2021,34,N/A,26,1.1,#VALUE!,-3.3
UKM00003772,"HEATHROW, UK",London,30/11/2021,50,54,37,10,12.2,2.8
UKM00003772,"HEATHROW, UK",London,01/12/2021,47,N/A,N/A,8.3,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,02/12/2021,36,41,N/A,2.2,5,#VALUE!
UKM00003772,"HEATHROW, UK",London,03/12/2021,43,49,32,6.1,9.4,0
UKM00003772,"HEATHROW, UK",London,04/12/2021,43,47,N/A,6.1,8.3,#VALUE!
UKM00003772,"HEATHROW, UK",London,05/12/2021,42,N/A,N/A,5.6,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,06/12/2021,40,N/A,35,4.4,#VALUE!,1.7
UKM00003772,"HEATHROW, UK",London,07/12/2021,41,47,34,5,8.3,1.1
UKM00003772,"HEATHROW, UK",London,08/12/2021,44,47,N/A,6.7,8.3,#VALUE!
UKM00003772,"HEATHROW, UK",London,09/12/2021,44,48,N/A,6.7,8.9,#VALUE!
UKM00003772,"HEATHROW, UK",London,10/12/2021,43,N/A,N/A,6.1,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,11/12/2021,42,N/A,N/A,5.6,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,12/12/2021,53,58,46,11.7,14.4,7.8
UKM00003772,"HEATHROW, UK",London,13/12/2021,51,N/A,N/A,10.6,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,14/12/2021,52,56,48,11.1,13.3,8.9
UKM00003772,"HEATHROW, UK",London,15/12/2021,53,56,49,11.7,13.3,9.4
UKM00003772,"HEATHROW, UK",London,16/12/2021,52,N/A,N/A,11.1,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,17/12/2021,48,N/A,N/A,8.9,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,18/12/2021,47,48,N/A,8.3,8.9,#VALUE!
UKM00003772,"HEATHROW, UK",London,19/12/2021,41,N/A,N/A,5,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,20/12/2021,43,45,38,6.1,7.2,3.3
UKM00003772,"HEATHROW, UK",London,21/12/2021,40,43,N/A,4.4,6.1,#VALUE!
UKM00003772,"HEATHROW, UK",London,22/12/2021,35,N/A,N/A,1.7,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,23/12/2021,46,N/A,37,7.8,#VALUE!,2.8
UKM00003772,"HEATHROW, UK",London,24/12/2021,47,51,42,8.3,10.6,5.6
UKM00003772,"HEATHROW, UK",London,25/12/2021,45,N/A,N/A,7.2,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,26/12/2021,45,N/A,N/A,7.2,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,27/12/2021,48,52,42,8.9,11.1,5.6
UKM00003772,"HEATHROW, UK",London,28/12/2021,50,53,N/A,10,11.7,#VALUE!
UKM00003772,"HEATHROW, UK",London,29/12/2021,52,60,N/A,11.1,15.6,#VALUE!
UKM00003772,"HEATHROW, UK",London,30/12/2021,57,59,53,13.9,15,11.7
UKM00003772,"HEATHROW, UK",London,31/12/2021,56,60,N/A,13.3,15.6,#VALUE!
UKM00003772,"HEATHROW, UK",London,01/01/2022,56,60,54,13.3,15.6,12.2
UKM00003772,"HEATHROW, UK",London,02/01/2022,53,N/A,N/A,11.7,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,03/01/2022,50,N/A,N/A,10,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,04/01/2022,41,N/A,N/A,5,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,05/01/2022,37,44,N/A,2.8,6.7,#VALUE!
UKM00003772,"HEATHROW, UK",London,06/01/2022,36,45,26,2.2,7.2,-3.3
UKM00003772,"HEATHROW, UK",London,07/01/2022,39,43,N/A,3.9,6.1,#VALUE!
UKM00003772,"HEATHROW, UK",London,08/01/2022,43,51,32,6.1,10.6,0
UKM00003772,"HEATHROW, UK",London,09/01/2022,40,48,35,4.4,8.9,1.7
UKM00003772,"HEATHROW, UK",London,10/01/2022,42,N/A,36,5.6,#VALUE!,2.2
UKM00003772,"HEATHROW, UK",London,11/01/2022,49,51,N/A,9.4,10.6,#VALUE!
UKM00003772,"HEATHROW, UK",London,12/01/2022,41,48,N/A,5,8.9,#VALUE!
UKM00003772,"HEATHROW, UK",London,13/01/2022,38,49,N/A,3.3,9.4,#VALUE!
UKM00003772,"HEATHROW, UK",London,14/01/2022,38,49,29,3.3,9.4,-1.7
UKM00003772,"HEATHROW, UK",London,15/01/2022,37,42,N/A,2.8,5.6,#VALUE!
UKM00003772,"HEATHROW, UK",London,16/01/2022,43,49,N/A,6.1,9.4,#VALUE!
UKM00003772,"HEATHROW, UK",London,17/01/2022,39,51,N/A,3.9,10.6,#VALUE!
UKM00003772,"HEATHROW, UK",London,18/01/2022,36,45,26,2.2,7.2,-3.3
UKM00003772,"HEATHROW, UK",London,19/01/2022,43,49,N/A,6.1,9.4,#VALUE!
UKM00003772,"HEATHROW, UK",London,20/01/2022,37,43,32,2.8,6.1,0
UKM00003772,"HEATHROW, UK",London,21/01/2022,35,N/A,27,1.7,#VALUE!,-2.8
UKM00003772,"HEATHROW, UK",London,22/01/2022,41,43,33,5,6.1,0.6
UKM00003772,"HEATHROW, UK",London,23/01/2022,42,43,41,5.6,6.1,5
UKM00003772,"HEATHROW, UK",London,24/01/2022,40,N/A,N/A,4.4,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,25/01/2022,36,N/A,N/A,2.2,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,26/01/2022,41,48,35,5,8.9,1.7
UKM00003772,"HEATHROW, UK",London,27/01/2022,47,56,N/A,8.3,13.3,#VALUE!
UKM00003772,"HEATHROW, UK",London,28/01/2022,42,51,32,5.6,10.6,0
UKM00003772,"HEATHROW, UK",London,29/01/2022,51,57,N/A,10.6,13.9,#VALUE!
UKM00003772,"HEATHROW, UK",London,30/01/2022,41,48,N/A,5,8.9,#VALUE!
UKM00003772,"HEATHROW, UK",London,31/01/2022,44,N/A,N/A,6.7,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,01/02/2022,50,59,39,10,15,3.9
UKM00003772,"HEATHROW, UK",London,02/02/2022,50,54,N/A,10,12.2,#VALUE!
UKM00003772,"HEATHROW, UK",London,03/02/2022,48,50,N/A,8.9,10,#VALUE!
UKM00003772,"HEATHROW, UK",London,04/02/2022,45,51,N/A,7.2,10.6,#VALUE!
UKM00003772,"HEATHROW, UK",London,05/02/2022,44,52,36,6.7,11.1,2.2
UKM00003772,"HEATHROW, UK",London,06/02/2022,49,53,N/A,9.4,11.7,#VALUE!
UKM00003772,"HEATHROW, UK",London,07/02/2022,44,N/A,N/A,6.7,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,08/02/2022,52,N/A,49,11.1,#VALUE!,9.4
UKM00003772,"HEATHROW, UK",London,09/02/2022,51,58,N/A,10.6,14.4,#VALUE!
UKM00003772,"HEATHROW, UK",London,10/02/2022,43,N/A,N/A,6.1,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,11/02/2022,39,49,32,3.9,9.4,0
UKM00003772,"HEATHROW, UK",London,12/02/2022,42,48,31,5.6,8.9,-0.6
UKM00003772,"HEATHROW, UK",London,13/02/2022,47,N/A,42,8.3,#VALUE!,5.6
UKM00003772,"HEATHROW, UK",London,14/02/2022,45,49,N/A,7.2,9.4,#VALUE!
UKM00003772,"HEATHROW, UK",London,15/02/2022,45,N/A,36,7.2,#VALUE!,2.2
UKM00003772,"HEATHROW, UK",London,16/02/2022,55,59,48,12.8,15,8.9
UKM00003772,"HEATHROW, UK",London,17/02/2022,49,54,N/A,9.4,12.2,#VALUE!
UKM00003772,"HEATHROW, UK",London,18/02/2022,47,N/A,N/A,8.3,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,19/02/2022,43,51,36,6.1,10.6,2.2
UKM00003772,"HEATHROW, UK",London,20/02/2022,50,54,N/A,10,12.2,#VALUE!
UKM00003772,"HEATHROW, UK",London,21/02/2022,46,53,40,7.8,11.7,4.4
UKM00003772,"HEATHROW, UK",London,22/02/2022,49,56,40,9.4,13.3,4.4
UKM00003772,"HEATHROW, UK",London,23/02/2022,45,51,35,7.2,10.6,1.7
UKM00003772,"HEATHROW, UK",London,24/02/2022,43,N/A,N/A,6.1,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,25/02/2022,43,53,N/A,6.1,11.7,#VALUE!
UKM00003772,"HEATHROW, UK",London,26/02/2022,41,52,N/A,5,11.1,#VALUE!
UKM00003772,"HEATHROW, UK",London,27/02/2022,42,52,N/A,5.6,11.1,#VALUE!
UKM00003772,"HEATHROW, UK",London,28/02/2022,48,54,37,8.9,12.2,2.8
UKM00003772,"HEATHROW, UK",London,01/03/2022,47,N/A,N/A,8.3,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,02/03/2022,44,N/A,N/A,6.7,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,03/03/2022,47,54,40,8.3,12.2,4.4
UKM00003772,"HEATHROW, UK",London,04/03/2022,45,N/A,N/A,7.2,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,05/03/2022,43,N/A,N/A,6.1,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,06/03/2022,42,47,38,5.6,8.3,3.3
UKM00003772,"HEATHROW, UK",London,07/03/2022,40,N/A,N/A,4.4,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,08/03/2022,43,55,31,6.1,12.8,-0.6
UKM00003772,"HEATHROW, UK",London,09/03/2022,50,56,44,10,13.3,6.7
UKM00003772,"HEATHROW, UK",London,10/03/2022,53,61,44,11.7,16.1,6.7
UKM00003772,"HEATHROW, UK",London,11/03/2022,50,54,N/A,10,12.2,#VALUE!
UKM00003772,"HEATHROW, UK",London,12/03/2022,49,55,N/A,9.4,12.8,#VALUE!
UKM00003772,"HEATHROW, UK",London,13/03/2022,49,53,N/A,9.4,11.7,#VALUE!
UKM00003772,"HEATHROW, UK",London,14/03/2022,46,56,38,7.8,13.3,3.3
UKM00003772,"HEATHROW, UK",London,15/03/2022,50,61,40,10,16.1,4.4
UKM00003772,"HEATHROW, UK",London,16/03/2022,48,N/A,N/A,8.9,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,17/03/2022,47,58,35,8.3,14.4,1.7
UKM00003772,"HEATHROW, UK",London,18/03/2022,48,61,37,8.9,16.1,2.8
UKM00003772,"HEATHROW, UK",London,19/03/2022,50,57,N/A,10,13.9,#VALUE!
UKM00003772,"HEATHROW, UK",London,20/03/2022,46,54,N/A,7.8,12.2,#VALUE!
UKM00003772,"HEATHROW, UK",London,21/03/2022,48,63,33,8.9,17.2,0.6
UKM00003772,"HEATHROW, UK",London,22/03/2022,56,68,N/A,13.3,20,#VALUE!
UKM00003772,"HEATHROW, UK",London,23/03/2022,54,68,41,12.2,20,5
UKM00003772,"HEATHROW, UK",London,24/03/2022,53,66,39,11.7,18.9,3.9
UKM00003772,"HEATHROW, UK",London,25/03/2022,52,64,40,11.1,17.8,4.4
UKM00003772,"HEATHROW, UK",London,26/03/2022,52,65,41,11.1,18.3,5
UKM00003772,"HEATHROW, UK",London,27/03/2022,47,56,N/A,8.3,13.3,#VALUE!
UKM00003772,"HEATHROW, UK",London,28/03/2022,50,62,38,10,16.7,3.3
UKM00003772,"HEATHROW, UK",London,29/03/2022,49,54,N/A,9.4,12.2,#VALUE!
UKM00003772,"HEATHROW, UK",London,30/03/2022,45,52,N/A,7.2,11.1,#VALUE!
UKM00003772,"HEATHROW, UK",London,31/03/2022,38,46,N/A,3.3,7.8,#VALUE!
UKM00003772,"HEATHROW, UK",London,01/04/2022,40,49,N/A,4.4,9.4,#VALUE!
UKM00003772,"HEATHROW, UK",London,02/04/2022,40,50,32,4.4,10,0
UKM00003772,"HEATHROW, UK",London,03/04/2022,41,52,30,5,11.1,-1.1
UKM00003772,"HEATHROW, UK",London,04/04/2022,50,N/A,N/A,10,#VALUE!,#VALUE!
UKM00003772,"HEATHROW, UK",London,05/04/2022,53,59,N/A,11.7,15,#VALUE!
UKM00003772,"HEATHROW, UK",London,06/04/2022,52,61,N/A,11.1,16.1,#VALUE!
UKM00003772,"HEATHROW, UK",London,07/04/2022,49,57,N/A,9.4,13.9,#VALUE!
